genotype,blackspot,cercospora,defoliation,RRD_severity,RRV_Ct
X16009_N006,4.900000001,0.166666667,6.066666666,0.071584975,21.57
X16009_N009,3.040031151,0.023011058,5.638726477,NA,NA
X16009_N010,4.240031151,0.089677724,4.505393143,NA,NA
X16009_N011,3.426635517,-0.023011058,5.094606856,2.385896673,26.142
X16009_N013,3.14010367,0.088758806,5.312277338,NA,NA
X16009_N015,NA,NA,NA,NA,NA
X16009_N016,3.700000001,1.62E-12,5.666666666,-0.003415025,40
X16009_N017,2.373364484,0.489677724,7.163753932,NA,NA
X16009_N019,4.033333334,1.62E-12,5.666666666,0.706214482,40
X16009_N020,3.666666667,0.2,4.866666666,-0.003415025,40
X16009_N021,3.000000001,0.1,5.366666666,1.141108038,25.297
X16009_N023,3.366666667,1.433333333,5,1.146584975,40
X16009_N025,3.533333334,0.466666667,6.933333333,0.375158581,28.35
X16009_N026,3.146346866,0.849916683,3.413519914,NA,NA
X16009_N027,3.300000001,1.2,4.666666666,2.346584975,24.867
X16009_N030,3.366666667,2.6,5.1,1.271584975,26.31
X16009_N031,4.633333334,0.1,5.466666666,0.045273959,40
X16009_N032,3.400000001,0.2,3.766666666,0.8,22.85
X16009_N034,3.166666667,2.233333333,3.766666666,1.171584975,32.937
X16009_N035,2.866666667,0.4,3.866090032,0.141108038,40
X16009_N037,3.100000001,0.133333333,4.283232034,0.355047068,28.906
X16009_N038,4.866666667,0.333333333,5.433333333,0.003415025,40
X16009_N039,3.233333334,1.533333333,4.266666666,0.100260404,40
X16009_N040,3.359968851,0.576988942,4.094606856,-0.003415025,40
X16009_N042,5.095339326,0.184640525,5.943069208,0.396584975,40
X16009_N043,3.633333334,0.266666667,5.566666666,1.446921465,20.754
X16009_N045,2.966666667,1.266666667,3.6,1.4,25.682
X16009_N046,2.700000001,2.4,3.9,1.346584975,26.486
X16009_N048,4.033333334,0.033333333,5.7,-0.003415025,27.517
X16009_N049,4.166666667,0.266666667,6.4,0.355047068,32.37924576
X16009_N052,4.133333334,0.9,3.733333333,2.04E-13,40
X16009_N055,3.466666667,3.7,4.633333333,0.046584975,40
X16009_N056,3.226635517,-0.023011058,4.62794019,0.375158581,40
X16009_N057,3.500000001,0.266666667,3.666666666,0.048006758,40
X16009_N058,2.866666667,1.533333333,3.5,1.353415025,27.42
X16009_N059,3.300000001,3.8,4.833333333,0.15,26.626
X16009_N060,4.500000001,0.1,6.2,0.546584975,40
X16009_N061,3.200000001,0.133333333,6,1.496584975,24.53
X16009_N063,4.533333334,0.066666667,5.466666666,2.04E-13,40
X16009_N064,5.159968851,0.110322276,6.22794019,0.071584975,40
X16009_N065,4.500000001,0.033333333,6.766666666,2.04E-13,40
X16009_N066,3.400000001,1.666666667,4.566666666,-0.003415025,40
X16009_N067,4.333333334,0.173469536,5.033333333,-0.003415025,40
X16009_N068,2.938910927,0.031737714,6.531194871,0.355047068,24.83
X16009_N070,3.200000001,2.233333333,4.366666666,1.168219628,24.43
