genotypes,SEV_BLUEs,Ct,qPCR_binary
X16009_N001,0,28.362,0
X16009_N006,-0.207490994,21.57,0
X16009_N007,1.5,18.871,0
X16009_N011,1.072746483,26.142,0
X16009_N014,-0.038660828,40,1
X16009_N016,-0.282490994,40,1
X16009_N018,-0.038660828,29.354,0
X16009_N019,0.572746483,40,1
X16009_N020,-0.282490994,40,1
X16009_N021,0.826265504,25.297,0
X16009_N023,0.617509006,40,1
X16009_N024,-0.282490994,40,1
X16009_N025,-0.019356532,28.35,0
X16009_N027,1.567509006,24.867,0
X16009_N028,-0.282490994,40,1
X16009_N030,0.992509006,26.31,0
X16009_N031,-0.242080708,40,1
X16009_N032,0.520127744,22.85,0
X16009_N033,3.84E-12,40,1
X16009_N034,0.892509006,32.937,0
X16009_N035,-0.173734496,40,1
X16009_N037,-0.038660828,28.906,0
X16009_N038,-0.277253517,40,1
X16009_N039,-0.282490994,40,1
X16009_N040,-0.282490994,40,1
X16009_N042,0.117509006,40,1
X16009_N043,0.372746483,20.754,0
X16009_N044,-0.038660828,40,1
X16009_N045,1.120127744,25.682,0
X16009_N046,1.067509006,26.486,0
X16009_N048,-0.282490994,27.517,0
X16009_N049,3.84E-12,32.37924576,0
X16009_N050,-0.032490994,40,1
X16009_N052,-0.279872256,40,1
X16009_N053,-0.282490994,40,1
X16009_N055,-0.232490994,40,1
X16009_N056,-0.019356532,40,1
X16009_N057,-0.279872256,40,1
X16009_N058,1.072746483,27.42,0
X16009_N059,-0.129872256,26.626,0
X16009_N060,0.267509006,40,1
X16009_N061,1.217509006,24.53,0
X16009_N063,-0.279872256,40,1
X16009_N064,-0.207490994,40,1
X16009_N065,-0.279872256,40,1
X16009_N066,-0.282490994,40,1
X16009_N067,-0.282490994,40,1
X16009_N068,-0.038660828,24.83,0
X16009_N069,-0.282490994,40,1
X16009_N070,1.222746483,24.432,0
X16009_N071,-0.038660828,32.134,0
X16009_N072,-0.282490994,40,1
X16009_N073,0.245127744,40,1
X16009_N074,-0.277253517,40,1
X16009_N075,-0.279872256,40,1
X16009_N076,0.117509006,40,1
X16009_N077,3.84E-12,40,1
X16009_N078,-0.279257161,40,1
X16009_N079,-0.282490994,40,1
X16009_N080,1.5,19.993,0
X16009_N081,0.5,27.29,0
X16009_N083,-0.038660828,40,1
X16009_N085,-0.038660828,40,1
X16009_N086,-0.277253517,40,1
X16009_N087,-0.279872256,40,1
X16009_N088,-0.282490994,40,1
X16009_N089,0.117509006,40,1
X16009_N090,1.067509006,23.935,0
X16009_N091,0,40,1
X16009_N092,0.392509006,29.038,0
X16009_N094,-0.279872256,40,1
X16009_N095,-0.282490994,40,1
X16009_N097,-0.242080708,40,1
X16009_N098,1.067509006,27.81,0
X16009_N100,0.120127744,25.484,0
X16009_N101,-0.245232441,40,1
X16009_N102,-0.282490994,40,1
X16009_N104,-0.282490994,40,1
X16009_N105,-0.282490994,40,1
X16009_N107,-0.282490994,40,1
X16009_N108,2.961339172,20.287,0
X16009_N110,-0.02900868,28.005,0
X16009_N111,-0.282490994,21.42,0
X16009_N112,1.217509006,28.49,0
X16009_N113,-0.279872256,40,1
X16009_N114,1.217509006,19.62,0
X16009_N115,-0.282490994,40,1
X16009_N116,-0.038660828,27.226,0
X16009_N119,-0.282490994,40,1
X16009_N122,3.84E-12,24.298,0
X16009_N124,1.222746483,30.19,0
X16009_N125,-0.282490994,40,1
X16009_N126,-0.282490994,40,1
X16009_N128,0.570127744,40,1
X16009_N130,0.372746483,40,1
X16009_N131,-0.127253517,21.43,0
X16009_N132,-0.282490994,40,1
X16009_N133,-0.279872256,40,1
X16009_N136,0.961339172,18.922,0
X16009_N138,-0.202977366,25.83,0
X16009_N139,0.189296966,22.35,0
X16009_N140,-0.277253517,26.233,0
X16009_N141,2.961339172,20.131,0
X16009_N142,0.392509006,40,1
X16009_N143,-0.282490994,40,1
X16009_N144,-0.282490994,40,1
X16009_N146,-0.132490994,40,1
X16009_N153,-0.282490994,40,1
X16009_N156,0.470127744,40,1
X16009_N160,0.270127744,40,1
X16009_N161,-0.282490994,40,1
X16009_N162,-0.282490994,40,1
X16009_N163,-0.038660828,40,1
X16009_N164,-0.279872256,40,1
X16009_N165,1.217509006,26.77,0
X16009_N168,1.070127744,27.089,0
X16009_N169,-0.282490994,40,1
X16009_N170,-0.038660828,23.886,0
X16009_N171,-0.282490994,40,1
X16009_N173,-0.282490994,40,1
X16009_N174,-0.279872256,40,1
X16009_N175,-0.154872256,40,1
X16009_N176,-0.243613863,40,1
X16009_N177,-0.282490994,40,1
X16009_N178,0.732196991,24.081,0
X16009_N179,-0.132490994,25.118,0
X16009_N181,-0.019356532,40,1
X16009_N182,0.867509006,24.67,0
X16009_N183,0.980643468,29.42,0
X16009_N186,-0.282490994,25.134,0
X16009_N188,-0.282490994,40,1
X16009_N189,-0.242080708,40,1
X16009_N192,1.222746483,23.52585411,0
X16035_N016,0,20.73,0
X16035_N017,-0.165566377,40,1
X16035_N018,-0.493185115,40,1
X16035_N020,1.012052362,40,1
X16035_N024,0.231814885,23.256,0
X16035_N025,-0.493185115,40,1
X16035_N026,1.012052362,18.17,0
X16035_N028,-0.165566377,40,1
X16035_N029,-0.215566377,26.106,0
X16035_N030,1.356814885,26.145,0
X16035_N031,1.159433623,28.733,0
X16035_N032,-0.365566377,40,1
X16035_N033,-0.168185115,24.74,0
X16035_N034,-0.415566377,40,1
X16035_N035,-0.040566377,22.17,0
X16035_N039,0.856814885,22.425,0
X16035_N040,-0.368185115,40,1
X16035_N044,1.009433623,26.864,0
X16035_N045,-0.490566377,40,1
X16035_N046,1.434433623,25.73314667,0
X16035_N047,0.019304297,40,1
X16035_N049,1.012052362,20.698,0
X16035_N051,0.862052362,20.46,0
X16035_N054,0.109433623,24.405,0
X16035_N057,1.756814885,28.33523178,0
X16035_N058,-0.337947638,25.92,0
X16400_N001,1.97E-11,25.179,0
X16400_N002,-0.343185115,28.53,0
X16400_N003,-0.418185115,40,1
X16400_N004,0.084433623,40,1
X16400_N005,0.859433623,26.04,0
X16400_N007,0.056814885,31.728,0
X16400_N008,-0.215566377,20.53,0
X16400_N011,0.111009765,25.67142105,0
X16400_N012,1.97E-11,29.667,0
X16400_N014,0.856814885,30.195,0
X16400_N015,0.309433623,40,1
X16400_N016,1.106814885,28.14,0
X16400_N017,-0.493185115,40,1
X16400_N018,1.97E-11,23.65,0
X16400_N022,3,25.336,0
X16400_N023,0.306814885,24.13,0
X16400_N031,0.109433623,28.31,0
X16400_N035,0.906814885,29.93,0
X16400_N036,0.611009765,26.29,0
X16400_N038,0.434433623,40,1
X16400_N040,0.784433623,25.913,0
X16400_N041,1.611009765,23.78219795,0
X16400_N042,1.262052362,21.66,0
X16400_N043,0.309433623,25.88281631,0
X16400_N044,-0.482305977,25.93,0
X16400_N045,-0.493185115,40,1
X16400_N047,0.606814885,27.161,0
X16400_N050,0.856814885,28.741,0
X16400_N051,0.862052362,21.942,0
X16400_N052,0.384433623,30.179,0
X16400_N053,-0.090566377,26.59,0
X16400_N054,-0.407408586,40,1
X16400_N055,0.106814885,21.67,0
X16400_N057,0.856814885,29.026,0
X16400_N060,0.234433623,24.307,0
X16400_N062,-0.323020036,28.332,0
X16400_N066,1.456814885,29.984,0
X16400_N069,-0.487947638,40,1
X16400_N072,-0.490566377,40,1
X16400_N073,-0.490566377,40,1
X16400_N076,0.111009765,22.08,0
X16400_N077,1.256814885,20.923,0
X16400_N079,-0.168185115,24.52,0
X16400_N086,-0.140566377,40,1
X16400_N087,1.012052362,40,1
X16400_N088,0.034433623,29.263,0
X16400_N091,-0.343185115,20.732,0
X16400_N093,-0.493185115,40,1
X16400_N095,0.931814885,24.22,0
X16400_N098,1.373001133,22.125,0
X16400_N099,0.184433623,21.47,0
X16400_N100,0.859433623,23.52,0
X16400_N102,-0.343185115,40,1
X16400_N186,-0.493185115,40,1
X16401_N001,0.470127744,26.81,0
X16401_N003,1.467509006,26.617,0
X16401_N011,-0.279872256,26.54,0
X16401_N013,-0.038660828,40,1
X16401_N015,-0.279872256,40,1
X16401_N016,-0.032490994,40,1
X16401_N021,-0.173734496,40,1
X16401_N024,-0.279872256,40,1
X16401_N026,1.067509006,40,1
X16401_N028,1.067509006,40,1
X16401_N029,-0.279872256,40,1
X16401_N030,-0.282490994,22.78,0
X16401_N033,-0.282490994,40,1
X16401_N034,-0.277253517,40,1
X16401_N035,-0.038660828,40,1
X16401_N036,-0.282490994,40,1
X16401_N037,1.070127744,27.528,0
X16401_N038,-0.204872256,40,1
X16401_N039,-0.132490994,40,1
X16401_N040,-0.277253517,40,1
X16401_N041,-0.599432079,40,1
X16401_N042,-0.282490994,40,1
X16401_N043,0.867509006,27.739,0
X16401_N045,1.320127744,25.7974987,0
X16401_N046,0.917509006,22.06,0
X16401_N047,-0.076484517,28.58,0
